120	数据分析实习生(J11277)	长宁区	16:13发布	2k-4k	2k-4k 经验在校/应届 / 本科	汽车 媒体 数据分析	“领导nice 工作环境稳定”	移动互联网,电商 / 上市公司 / 2000人以上	易车公司
121	财务系统产品经理（预算控制与数据分析方向）	张江	10:30发布	15k-30k	15k-30k 经验3-5年 / 本科	分析 财务	“五险一金；定期团建；优秀团队”	文娱丨内容 / 上市公司 / 500-2000人	阅文集团
122	运营（数据分析方向）	张江	10:30发布	15k-25k	15k-25k 经验3-5年 / 本科	运营 数据分析	“上市公司”	文娱丨内容 / 上市公司 / 500-2000人	阅文集团
123	高级数据分析师（互联网方向）	杨浦区	09:28发布	13k-18k	13k-18k 经验3-5年 / 本科	新零售 移动互联网 数据分析	“五险一金 弹性工作 年终奖金 绿色办公”	移动互联网,电商 / C轮 / 150-500人	上海趣致
124	空间数据分析师	五角场	11:23发布	8k-12k	8k-12k 经验不限 / 本科	大数据 移动互联网 数据挖掘 GIS python 数据分析	“弹性工作,技术驱动,大牛互助”	数据服务,企业服务 / B轮 / 150-500人	脉策科技
125	高级/资深数据分析师	中山公园	11:23发布	25k-50k	25k-50k 经验5-10年 / 本科	数据分析 数据仓库	“快速成长/弹性工作/扁平管理”	移动互联网,数据服务 / B轮 / 150-500人	易观
126	游戏数据分析师	宝山区	11:44发布	15k-30k	15k-30k 经验3-5年 / 本科	游戏 BI SQL	“五险一金，带薪年假，员工旅游，下午茶公司团建”	移动互联网,游戏 / 上市公司 / 150-500人	上海绿岸
127	金融数据分析师	浦东新区	14:09发布	25k-50k	25k-50k 经验1-3年 / 硕士	统计 量化研究 机器学习	“发展空间大，交通便利，绩效奖金”	金融,数据服务 / 不需要融资 / 50-150人	晖玉投资
128	BI-数据分析实习生（电商直播业务方向）	龙华	13:30发布	3k-6k	3k-6k 经验在校/应届 / 本科	电商 商业数据分析 BA 直播数据分析 BI	“留用机会 各类补贴”	移动互联网,电商 / B轮 / 150-500人	只二
129	高级数据分析师（上海） (MJ000045)	梅园	10:10发布	15k-30k	15k-30k 经验不限 / 硕士	建模	“六险一金，绩效奖金，带薪年假”	金融 / C轮 / 500-2000人	百融云创
130	数据建模工程师	城隍庙	09:49发布	20k-30k	20k-30k 经验3-5年 / 本科	互联网金融 MySQL 数仓建模 Python 数据库开发	“专业团队 股东背景 发展潜力”	金融 / 上市公司 / 500-2000人	小赢科技
